,param1,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param2,param20,param3,param4,param5,param6,param7,param8,param9
996_prnn_fglass,83.86046511627906,96.88372093023254,98.51162790697674,97.67441860465117,98.09302325581392,97.4186046511628,97.86046511627909,88.02325581395347,92.6046511627907,88.67441860465117,93.11627906976744,83.34883720930233,87.55813953488372,83.46511627906978,86.09302325581396,81.23255813953489,98.09302325581396,97.3953488372093,96.81395348837208,97.2093023255814
828_fri_c4_100_100,51.80246913580247,53.283950617283956,52.39506172839506,53.1358024691358,53.03703703703703,51.50617283950618,51.45679012345679,52.049382716049394,52.09876543209877,52.69135802469136,53.23456790123457,49.72839506172839,52.444444444444436,53.481481481481474,54.17283950617285,52.148148148148145,52.592592592592595,51.70370370370371,50.17283950617283,52.09876543209877
829_fri_c1_100_5,50.6,51.9,62.6,58.9,58.2,49.5,59.75,53.8,56.15,59.7,52.45,54.35,57.25,55.5,52.0,52.75,57.55,55.2,53.7,56.5
830_fri_c2_250_10,60.03980099502487,68.55721393034827,69.7313432835821,69.3731343283582,68.73631840796021,66.62686567164178,69.19402985074626,66.64676616915422,,,,61.09452736318408,,63.263681592039795,64.83582089552239,63.54228855721393,61.15422885572138,66.3084577114428,76.17910447761193,57.91044776119403
832_fri_c3_250_25,56.796019900497505,53.55223880597014,54.746268656716424,55.06467661691543,49.47263681592041,50.368159203980106,53.09452736318408,54.96517412935323,,,50.348258706467654,54.92537313432835,53.07462686567163,53.412935323383074,53.29353233830847,56.537313432835816,56.835820895522396,52.71641791044776,57.253731343283576,54.587064676616905
850_fri_c0_100_50,53.4320987654321,53.58024691358025,55.358024691358025,53.67901234567903,58.17283950617285,57.0864197530864,54.617283950617285,56.04938271604939,49.72839506172839,50.913580246913575,55.06172839506172,51.1604938271605,51.99999999999999,52.19753086419754,55.160493827160494,58.320987654320994,55.01234567901235,54.02469135802468,54.518518518518526,53.382716049382715
860_vinnie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863_fri_c4_250_10,51.5820895522388,52.57711442786069,62.6865671641791,56.07960199004975,54.80597014925373,56.21890547263681,58.70646766169155,,57.81094527363185,57.97014925373136,,55.58208955223882,,54.149253731343286,52.91542288557214,52.81592039800995,51.12437810945274,51.22388059701493,58.149253731343286,54.308457711442784
868_fri_c4_100_25,59.01234567901235,53.33333333333334,58.86419753086419,55.506172839506156,64.49382716049384,56.88888888888889,53.77777777777778,55.80246913580247,58.12345679012346,56.444444444444436,57.185185185185176,58.96296296296296,59.11111111111111,53.87654320987654,60.39506172839506,56.34567901234568,57.086419753086425,56.00000000000002,58.9135802469136,58.8641975308642
869_fri_c2_500_10,61.79551122194514,,,,,,,,,,,62.85286783042394,,57.895261845386536,59.930174563591024,,,,,
870_fri_c1_500_5,60.229426433915215,74.75311720698255,,,,,,,,,,71.22194513715709,,65.90523690773064,67.8503740648379,67.01246882793018,64.3291770573566,,,63.36159600997506
873_fri_c3_250_50,50.92537313432835,48.85572139303482,54.12935323383084,55.0049751243781,,53.43283582089553,,,,,,50.50746268656717,,,53.253731343283576,51.50248756218907,49.29353233830847,48.49751243781093,49.631840796019894,49.4726368159204
876_fri_c1_100_50,50.8641975308642,48.54320987654321,49.580246913580254,48.98765432098765,49.58024691358025,50.27160493827161,50.76543209876544,50.518518518518526,49.4320987654321,50.074074074074076,51.851851851851855,53.58024691358025,48.74074074074074,51.25925925925926,52.04938271604939,50.02469135802468,51.1111111111111,50.22222222222222,48.444444444444436,
878_fri_c4_100_10,57.33333333333333,52.34567901234568,56.148148148148145,54.96296296296297,57.87654320987654,54.86419753086419,55.358024691358004,53.62962962962963,55.555555555555564,54.02469135802468,54.5679012345679,53.1358024691358,53.58024691358025,53.1358024691358,49.62962962962962,53.283950617283956,55.407407407407405,53.13580246913581,52.54320987654321,53.580246913580254
880_mu284,97.7894736842105,96.64912280701756,97.38596491228071,98.2982456140351,97.15789473684212,96.29824561403507,97.82456140350875,,98.03508771929823,,,96.80701754385963,96.01754385964912,,97.38596491228071,96.96491228070174,96.40350877192982,96.71929824561406,96.85964912280701,97.87719298245615
884_fri_c0_500_5,71.39152119700748,,,,,,,,,,,72.79800498753119,,72.7082294264339,71.7007481296758,70.8728179551122,73.4364089775561,75.63092269326683,73.64588528678304,72.22942643391521
885_transplant,95.0566037735849,97.09433962264151,97.8867924528302,95.8867924528302,96.98113207547169,97.09433962264151,96.03773584905663,96.07547169811322,95.16981132075472,96.71698113207546,96.33962264150944,95.58490566037734,96.07547169811323,97.09433962264151,96.33962264150942,97.73584905660377,96.45283018867924,97.28301886792454,97.43396226415095,94.188679245283
1473_fertility,53.382716049382715,65.82716049382717,87.6543209876543,82.51851851851852,84.5432098765432,83.85185185185185,85.58024691358024,81.58024691358024,85.18518518518519,87.6543209876543,87.6543209876543,50.518518518518526,75.25925925925925,59.11111111111111,50.518518518518505,59.80246913580247,78.02469135802468,45.72839506172839,49.1358024691358,67.95061728395062
329_hayes-roth,48.0,52.24806201550389,49.92248062015504,42.29457364341085,48.5891472868217,46.976744186046524,48.83720930232558,49.054263565891475,48.21705426356589,50.542635658914726,47.0077519379845,46.263565891472865,50.66666666666667,46.821705426356594,57.58139534883721,49.08527131782946,43.44186046511628,45.20930232558139,43.96899224806201,45.55038759689922
762_fri_c2_100_10,58.05,51.45,48.45,56.85,55.45,53.25,55.35,59.1,55.45,50.95,59.45,50.55,51.85,47.35,52.8,59.7,47.85,49.2,52.65,51.4
824_fri_c1_500_10,57.825436408977545,,,,,,,,,,,53.50623441396509,,65.83541147132169,56.31920199501246,,,,58.82294264339152,
886_no2,49.52618453865338,,,,,,,,,,,50.174563591022434,,49.18703241895262,,51.301745635910216,,,50.88279301745636,
